sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1B,58,1,2,1B5812,1BB058C1-MACD_2,45,0.1,32APSK,0.8,4,170.9814375,526,495
1B,58,1,3,1B5813,1BB058C1-MACD_3,45,0.1,32APSK,0.8,4,170.9814375,526,495
1B,58,1,1,1B5811,1BB058C1-MACD_1,46,0.1,32APSK,0.8,3.7,163.7995865,526,495
1A,59,1,8,1A5918,1AB059C1-MACD_8,52,0.2,32APSK,0.9,4.5,222.65135,231.6,222.7
1B,59,1,8,1B5918,1BB059C1-MACD_8,52,0.2,32APSK,0.9,4.4,219.8927,228.7,219.9
1A,60,1,4,1A6014,1AB060C1-MACD_4,46,0.1,32APSK,0.9,4.4,194.5204654,603.1,575.1
1A,60,1,5,1A6015,1AB060C1-MACD_5,45,0.1,32APSK,0.9,4.5,190.2917596,603.1,575.1
1A,60,1,6,1A6016,1AB060C1-MACD_6,45,0.1,32APSK,0.9,4.5,190.2917596,603.1,575.1
1B,60,1,4,1B6014,1BB060C1-MACD_4,42,0.1,32APSK,0.9,4.4,177.6056423,365,333.4
1B,60,1,5,1B6015,1BB060C1-MACD_5,41,0.1,32APSK,0.9,4.4,155.7830875,365,333.4
1A,61,1,4,1A6114,1AB061C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,431.5
1B,61,1,4,1B6114,1BB061C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,317.3
1A,62,1,2,1A6212,1AB062C1-MACD_2,52,0.2,32APSK,0.9,4.4,219.8927,671.6,645.8
1A,62,1,3,1A6213,1AB062C1-MACD_3,52,0.2,32APSK,0.9,4.4,219.8927,671.6,645.8
1A,62,1,1,1A6211,1AB062C1-MACD_1,52,0.2,32APSK,0.8,4.1,214.2,671.6,645.8
1B,62,1,3,1B6213,1BB062C1-MACD_3,52,0.2,32APSK,0.9,4.4,219.8927,648.4,623.4
1B,62,1,2,1B6212,1BB062C1-MACD_2,52,0.2,32APSK,0.8,4.1,205.977,648.4,623.4
1B,62,1,1,1B6211,1BB062C1-MACD_1,52,0.2,32APSK,0.8,4,197.57855,648.4,623.4
1A,63,1,7,1A6317,1AB063C1-MACD_7,36,0.1,32APSK,0.8,4,136.78515,274.1,263.5
1A,63,1,8,1A6318,1AB063C1-MACD_8,32,0.1,32APSK,0.8,4.1,121.5868,274.1,263.5
1B,63,1,8,1B6318,1BB063C1-MACD_8,32,0.1,32APSK,0.8,4.1,121.5868,131.8,258.3
1A,64,1,1,1A6411,1AB064C1-MACD_1,52,0.2,32APSK,0.8,4.1,205.977,856.8,815.5
1A,64,1,2,1A6412,1AB064C1-MACD_2,52,0.2,32APSK,0.8,4.1,205.977,856.8,815.5
1A,64,1,3,1A6413,1AB064C1-MACD_3,52,0.2,32APSK,0.8,4.1,197.57855,856.8,815.5
1A,64,1,4,1A6414,1AB064C1-MACD_4,52,0.2,32APSK,0.8,4.1,205.977,856.8,815.5
1B,64,1,1,1B6411,1BB064C1-MACD_1,52,0.2,32APSK,0.8,4.1,197.57855,839.4,794.7
1B,64,1,2,1B6412,1BB064C1-MACD_2,52,0.2,32APSK,0.8,4.1,205.977,839.4,794.7
1B,64,1,3,1B6413,1BB064C1-MACD_3,52,0.2,32APSK,0.8,4,185.16475,839.4,794.7
1B,64,1,4,1B6414,1BB064C1-MACD_4,52,0.2,32APSK,0.8,4,185.16475,839.4,794.7
1A,65,1,2,1A6512,1AB065C1-MACD_2,52,0.2,32APSK,0.9,4.4,219.8927,442.9,425.9
